2025-12-16 19:17:25.888 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-12-16 19:17:25.890 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-12-16 19:17:25.890 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2025-12-16 19:17:25.923 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-16 19:17:25.923 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 665 ms
2025-12-16 19:17:26.158 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-12-16 19:17:26.172 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2025-12-16 19:17:26.180 [main] INFO  com.crane.dddadmin.DddAdminApplication - Started DddAdminApplication in 1.367 seconds (process running for 1.943)
2025-12-16 19:23:56.808 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-12-16 19:23:56.860 [main] INFO  com.crane.dddadmin.DddAdminApplication - Starting DddAdminApplication using Java 17.0.7 with PID 25996 (D:\Develop\ddd-admin\target\classes started by Administrator in D:\Develop\ddd-admin)
2025-12-16 19:23:56.861 [main] INFO  com.crane.dddadmin.DddAdminApplication - The following 1 profile is active: "prod"
2025-12-16 19:23:57.778 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-12-16 19:23:57.847 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 940 ms
2025-12-16 19:23:58.253 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2025-12-16 19:23:58.262 [main] INFO  com.crane.dddadmin.DddAdminApplication - Started DddAdminApplication in 2.019 seconds (process running for 2.659)
2025-12-16 19:24:04.041 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-12-16 19:24:04.146 [main] INFO  com.crane.dddadmin.DddAdminApplication - Starting DddAdminApplication using Java 17.0.7 with PID 21084 (D:\Develop\ddd-admin\target\classes started by Administrator in D:\Develop\ddd-admin)
2025-12-16 19:24:04.148 [main] INFO  com.crane.dddadmin.DddAdminApplication - The following 1 profile is active: "prod"
2025-12-16 19:24:05.447 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-12-16 19:24:05.465 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-12-16 19:24:05.468 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-12-16 19:24:05.468 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2025-12-16 19:24:05.542 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-16 19:24:05.542 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1332 ms
2025-12-16 19:24:06.059 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-12-16 19:24:06.079 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2025-12-16 19:24:06.087 [main] INFO  com.crane.dddadmin.DddAdminApplication - Started DddAdminApplication in 2.942 seconds (process running for 3.901)
2025-12-16 19:28:30.989 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-12-16 19:28:31.031 [main] INFO  com.crane.dddadmin.DddAdminApplication - Starting DddAdminApplication using Java 17.0.7 with PID 15780 (D:\Develop\ddd-admin\target\classes started by Administrator in D:\Develop\ddd-admin)
2025-12-16 19:28:31.031 [main] INFO  com.crane.dddadmin.DddAdminApplication - The following 1 profile is active: "prod"
2025-12-16 19:28:31.666 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-12-16 19:28:31.672 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-12-16 19:28:31.674 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-12-16 19:28:31.674 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2025-12-16 19:28:31.710 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-16 19:28:31.710 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 646 ms
2025-12-16 19:28:31.960 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-12-16 19:28:31.971 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2025-12-16 19:28:31.976 [main] INFO  com.crane.dddadmin.DddAdminApplication - Started DddAdminApplication in 1.383 seconds (process running for 1.838)
2025-12-16 19:28:45.129 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-12-16 19:28:45.167 [main] INFO  com.crane.dddadmin.DddAdminApplication - Starting DddAdminApplication using Java 17.0.7 with PID 25176 (D:\Develop\ddd-admin\target\classes started by Administrator in D:\Develop\ddd-admin)
2025-12-16 19:28:45.167 [main] INFO  com.crane.dddadmin.DddAdminApplication - The following 1 profile is active: "prod"
2025-12-16 19:28:45.751 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-12-16 19:28:45.757 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-12-16 19:28:45.757 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-12-16 19:28:45.757 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2025-12-16 19:28:45.791 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-16 19:28:45.791 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 594 ms
2025-12-16 19:28:46.022 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-12-16 19:28:46.035 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2025-12-16 19:28:46.041 [main] INFO  com.crane.dddadmin.DddAdminApplication - Started DddAdminApplication in 1.303 seconds (process running for 1.734)
2025-12-16 19:29:52.783 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-12-16 19:29:52.817 [main] INFO  com.crane.dddadmin.DddAdminApplication - Starting DddAdminApplication using Java 17.0.7 with PID 24852 (D:\Develop\ddd-admin\target\classes started by Administrator in D:\Develop\ddd-admin)
2025-12-16 19:29:52.818 [main] INFO  com.crane.dddadmin.DddAdminApplication - The following 1 profile is active: "prod"
2025-12-16 19:29:53.389 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-12-16 19:29:53.394 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-12-16 19:29:53.396 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-12-16 19:29:53.396 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2025-12-16 19:29:53.428 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-16 19:29:53.428 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 583 ms
2025-12-16 19:29:53.653 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-12-16 19:29:53.664 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2025-12-16 19:29:53.670 [main] INFO  com.crane.dddadmin.DddAdminApplication - Started DddAdminApplication in 1.265 seconds (process running for 1.743)
2025-12-16 20:13:27.715 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-12-16 20:13:27.757 [main] INFO  com.crane.dddadmin.DddAdminApplication - Starting DddAdminApplication using Java 17.0.7 with PID 18220 (D:\Develop\ddd-admin\target\classes started by Administrator in D:\Develop\ddd-admin)
2025-12-16 20:13:27.758 [main] INFO  com.crane.dddadmin.DddAdminApplication - The following 1 profile is active: "prod"
2025-12-16 20:13:28.433 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-12-16 20:13:28.440 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-12-16 20:13:28.441 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-12-16 20:13:28.441 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2025-12-16 20:13:28.476 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-16 20:13:28.477 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 691 ms
2025-12-16 20:13:28.727 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-12-16 20:13:28.740 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2025-12-16 20:13:28.746 [main] INFO  com.crane.dddadmin.DddAdminApplication - Started DddAdminApplication in 1.485 seconds (process running for 2.068)
